Time,T1,T2,Q1,Q2
0,20.949499999999997,20.6272,0,0
1.0,20.949499999999997,20.949499999999997,0,0
2.0,20.949499999999997,20.949499999999997,0,0
3.0,20.949499999999997,20.949499999999997,0,0
4.0,20.949499999999997,20.6272,0,0
5.0,20.949499999999997,20.6272,0,0
6.0,20.949499999999997,20.949499999999997,0,0
7.0,20.949499999999997,20.949499999999997,0,0
8.0,20.949499999999997,20.949499999999997,0,0
9.0,20.949499999999997,20.949499999999997,0,0
10.0,20.949499999999997,20.949499999999997,0,0
11.0,20.6272,20.949499999999997,0,0
12.0,20.949499999999997,20.949499999999997,0,0
13.0,20.6272,20.949499999999997,0,0
14.0,20.949499999999997,20.949499999999997,0,0
15.0,20.6272,20.949499999999997,0,0
16.0,20.949499999999997,20.949499999999997,0,0
17.0,20.949499999999997,20.6272,0,0
18.0,20.949499999999997,20.6272,0,0
19.0,20.949499999999997,20.949499999999997,0,0
20.0,20.949499999999997,20.949499999999997,0,0
21.0,20.949499999999997,20.949499999999997,0,0
22.0,20.949499999999997,20.949499999999997,0,0
23.0,20.949499999999997,20.949499999999997,0,0
24.0,20.949499999999997,20.6272,0,0
25.0,20.949499999999997,20.949499999999997,0,0
26.0,20.949499999999997,20.949499999999997,0,0
27.0,20.949499999999997,20.949499999999997,0,0
28.0,20.949499999999997,20.949499999999997,0,0
29.0,20.6272,20.6272,0,0
30.0,20.949499999999997,20.949499999999997,0,0
31.0,20.949499999999997,20.949499999999997,0,0
32.0,20.6272,20.949499999999997,0,0
33.0,20.949499999999997,20.949499999999997,0,0
34.0,20.949499999999997,20.949499999999997,0,0
35.0,20.949499999999997,20.949499999999997,0,0
36.0,20.949499999999997,20.949499999999997,0,0
37.0,20.949499999999997,20.949499999999997,0,0
38.0,20.6272,20.949499999999997,0,0
39.0,20.949499999999997,20.949499999999997,0,0
40.0,20.949499999999997,20.949499999999997,0,0
41.0,20.949499999999997,20.6272,0,0
42.0,20.949499999999997,20.6272,0,0
43.0,20.6272,20.949499999999997,0,0
44.0,20.949499999999997,20.949499999999997,0,0
45.0,20.949499999999997,20.949499999999997,0,0
46.0,20.949499999999997,20.949499999999997,0,0
47.0,20.949499999999997,20.949499999999997,0,0
48.0,20.949499999999997,20.949499999999997,0,0
49.0,20.6272,20.949499999999997,0,0
50.0,20.949499999999997,20.6272,50,0
51.0,20.949499999999997,20.949499999999997,50,0
52.0,20.949499999999997,20.949499999999997,50,0
53.0,20.949499999999997,20.949499999999997,50,0
54.0,20.949499999999997,20.949499999999997,50,0
55.0,20.949499999999997,20.949499999999997,50,0
56.0,20.949499999999997,20.949499999999997,50,0
57.0,20.949499999999997,20.949499999999997,50,0
58.0,21.2718,20.949499999999997,50,0
59.0,21.2718,20.6272,50,0
60.0,21.2718,20.949499999999997,50,0
61.0,21.2718,20.949499999999997,50,0
62.0,21.594099999999997,20.949499999999997,50,0
63.0,21.594099999999997,20.949499999999997,50,0
64.0,21.9164,20.949499999999997,50,0
65.0,21.9164,20.949499999999997,50,0
66.0,21.9164,20.949499999999997,50,0
67.0,21.9164,20.949499999999997,50,0
68.0,22.238699999999998,20.949499999999997,50,0
69.0,22.238699999999998,20.949499999999997,50,0
70.0,22.561,20.949499999999997,50,0
71.0,22.561,20.949499999999997,50,0
72.0,22.8833,20.949499999999997,50,0
73.0,22.8833,20.949499999999997,50,0
74.0,22.8833,20.949499999999997,50,0
75.0,23.205599999999997,20.949499999999997,50,0
76.0,23.205599999999997,20.949499999999997,50,0
77.0,23.5279,20.949499999999997,50,0
78.0,23.5279,20.949499999999997,50,0
79.0,23.850199999999997,21.2718,50,0
80.0,23.850199999999997,20.949499999999997,50,0
81.0,24.1725,20.949499999999997,50,0
82.0,24.1725,20.949499999999997,50,0
83.0,24.494799999999998,21.2718,50,0
84.0,24.494799999999998,21.2718,50,0
85.0,24.817099999999996,21.2718,50,0
86.0,24.817099999999996,21.2718,50,0
87.0,25.1394,21.2718,50,0
88.0,25.1394,21.2718,50,0
89.0,25.461699999999997,21.2718,50,0
90.0,25.461699999999997,21.2718,50,0
91.0,25.784,21.2718,50,0
92.0,25.784,21.2718,50,0
93.0,26.106299999999997,21.2718,50,0
94.0,26.106299999999997,21.2718,50,0
95.0,26.4286,21.2718,50,0
96.0,26.4286,21.2718,50,0
97.0,26.750899999999998,21.594099999999997,50,0
98.0,26.750899999999998,21.594099999999997,50,0
99.0,27.073199999999996,21.2718,50,0
100.0,27.073199999999996,21.2718,50,0
101.0,27.3955,21.594099999999997,50,0
102.0,27.3955,21.594099999999997,50,0
103.0,27.717799999999997,21.594099999999997,50,0
104.0,27.717799999999997,21.594099999999997,50,0
105.0,27.717799999999997,21.594099999999997,50,0
106.0,28.0401,21.594099999999997,50,0
107.0,28.0401,21.594099999999997,50,0
108.0,28.362399999999997,21.594099999999997,50,0
109.0,28.362399999999997,21.594099999999997,50,0
110.0,28.6847,21.594099999999997,50,0
111.0,28.6847,21.594099999999997,50,0
112.0,29.006999999999998,21.9164,50,0
113.0,29.006999999999998,21.9164,50,0
114.0,29.329299999999996,21.9164,50,0
115.0,29.329299999999996,21.9164,50,0
116.0,29.6516,21.9164,50,0
117.0,29.6516,21.9164,50,0
118.0,29.973899999999997,21.9164,50,0
119.0,29.973899999999997,21.9164,50,0
120.0,29.973899999999997,21.9164,50,0
121.0,30.2962,21.9164,50,0
122.0,30.2962,21.9164,50,0
123.0,30.618499999999997,21.9164,50,0
124.0,30.618499999999997,21.9164,50,0
125.0,30.940799999999996,22.238699999999998,50,0
126.0,30.940799999999996,22.238699999999998,50,0
127.0,31.263099999999998,22.238699999999998,50,0
128.0,31.263099999999998,22.238699999999998,50,0
129.0,31.263099999999998,22.238699999999998,50,0
130.0,31.585399999999996,22.238699999999998,50,0
131.0,31.585399999999996,22.238699999999998,50,0
132.0,31.9077,22.238699999999998,50,0
133.0,31.9077,22.238699999999998,50,0
134.0,31.9077,22.238699999999998,50,0
135.0,32.23,22.238699999999998,50,0
136.0,32.23,22.561,50,0
137.0,32.552299999999995,22.238699999999998,50,0
138.0,32.552299999999995,22.561,50,0
139.0,32.8746,22.561,50,0
140.0,32.8746,22.561,50,0
141.0,32.8746,22.561,50,0
142.0,33.1969,22.561,50,0
143.0,33.1969,22.561,50,0
144.0,33.1969,22.561,50,0
145.0,33.5192,22.561,50,0
146.0,33.5192,22.561,50,0
147.0,33.5192,22.561,50,0
148.0,33.841499999999996,22.561,50,0
149.0,33.841499999999996,22.561,50,0
150.0,34.163799999999995,22.561,50,0
151.0,34.163799999999995,22.561,50,0
152.0,34.163799999999995,22.561,50,0
153.0,34.4861,22.8833,50,0
154.0,34.4861,22.8833,50,0
155.0,34.4861,22.8833,50,0
156.0,34.8084,22.8833,50,0
157.0,34.8084,22.8833,50,0
158.0,34.8084,22.8833,50,0
159.0,35.1307,22.8833,50,0
160.0,35.1307,22.8833,50,0
161.0,35.452999999999996,22.8833,50,0
162.0,35.452999999999996,22.8833,50,0
163.0,35.452999999999996,22.8833,50,0
164.0,35.775299999999994,22.8833,50,0
165.0,35.775299999999994,22.8833,50,0
166.0,35.775299999999994,22.8833,50,0
167.0,36.0976,22.8833,50,0
168.0,36.0976,22.8833,50,0
169.0,36.0976,23.205599999999997,50,0
170.0,36.4199,22.8833,50,0
171.0,36.4199,23.205599999999997,50,0
172.0,36.4199,23.205599999999997,50,0
173.0,36.7422,23.205599999999997,50,0
174.0,36.7422,23.205599999999997,50,0
175.0,36.7422,23.205599999999997,50,0
176.0,37.064499999999995,23.205599999999997,50,0
177.0,37.064499999999995,23.205599999999997,50,0
178.0,37.064499999999995,23.205599999999997,50,0
179.0,37.386799999999994,23.205599999999997,50,0
180.0,37.386799999999994,23.205599999999997,50,0
181.0,37.386799999999994,23.205599999999997,50,0
182.0,37.386799999999994,23.205599999999997,50,0
183.0,37.7091,23.205599999999997,50,0
184.0,37.7091,23.205599999999997,50,0
185.0,37.7091,23.205599999999997,50,0
186.0,37.7091,23.5279,50,0
187.0,38.0314,23.5279,50,0
188.0,38.0314,23.205599999999997,50,0
189.0,38.0314,23.5279,50,0
190.0,38.0314,23.5279,50,0
191.0,38.353699999999996,23.5279,50,0
192.0,38.353699999999996,23.5279,50,0
193.0,38.675999999999995,23.5279,50,0
194.0,38.353699999999996,23.5279,50,0
195.0,38.675999999999995,23.5279,50,0
196.0,38.675999999999995,23.5279,50,0
197.0,38.675999999999995,23.5279,50,0
198.0,38.9983,23.5279,50,0
199.0,38.9983,23.5279,50,0
200.0,38.9983,23.5279,50,0
201.0,38.9983,23.5279,50,0
202.0,39.3206,23.5279,50,0
203.0,39.3206,23.5279,50,0
204.0,39.3206,23.850199999999997,50,0
205.0,39.6429,23.5279,50,0
206.0,39.6429,23.5279,50,0
207.0,39.6429,23.850199999999997,50,0
208.0,39.6429,23.850199999999997,50,0
209.0,39.6429,23.850199999999997,50,0
210.0,39.965199999999996,23.850199999999997,50,0
211.0,39.965199999999996,23.850199999999997,50,0
212.0,39.965199999999996,23.850199999999997,50,0
213.0,39.965199999999996,23.850199999999997,50,0
214.0,40.287499999999994,23.850199999999997,50,0
215.0,40.287499999999994,23.850199999999997,50,0
216.0,40.287499999999994,23.850199999999997,50,0
217.0,40.287499999999994,23.850199999999997,50,0
218.0,40.6098,23.850199999999997,50,0
219.0,40.6098,23.850199999999997,50,0
220.0,40.6098,23.850199999999997,50,0
221.0,40.6098,23.850199999999997,50,0
222.0,40.9321,23.850199999999997,50,0
223.0,40.9321,23.850199999999997,50,0
224.0,40.9321,23.850199999999997,50,0
225.0,40.9321,24.1725,50,0
226.0,41.2544,23.850199999999997,50,0
227.0,41.2544,24.1725,50,0
228.0,41.2544,23.850199999999997,50,0
229.0,41.2544,24.1725,50,0
230.0,41.2544,24.1725,50,0
231.0,41.2544,23.850199999999997,50,0
232.0,41.576699999999995,24.1725,50,0
233.0,41.576699999999995,24.1725,50,0
234.0,41.576699999999995,24.1725,50,0
235.0,41.576699999999995,24.1725,50,0
236.0,41.576699999999995,24.1725,50,0
237.0,41.576699999999995,24.1725,50,0
238.0,41.898999999999994,24.1725,50,0
239.0,41.898999999999994,24.1725,50,0
240.0,41.898999999999994,24.1725,50,0
241.0,42.2213,24.1725,50,0
242.0,42.2213,24.1725,50,0
243.0,41.898999999999994,24.1725,50,0
244.0,42.2213,24.1725,50,0
245.0,42.2213,24.1725,50,0
246.0,42.5436,24.1725,50,0
247.0,42.5436,24.1725,50,0
248.0,42.5436,24.1725,50,0
249.0,42.5436,24.1725,50,0
250.0,42.5436,24.1725,50,0
251.0,42.5436,24.1725,50,0
252.0,42.865899999999996,24.1725,50,0
253.0,42.865899999999996,24.1725,50,0
254.0,42.865899999999996,24.494799999999998,50,0
255.0,42.865899999999996,24.494799999999998,50,0
256.0,42.865899999999996,24.1725,50,0
257.0,43.188199999999995,24.494799999999998,50,0
258.0,42.865899999999996,24.494799999999998,50,0
259.0,43.188199999999995,24.494799999999998,50,0
260.0,43.188199999999995,24.494799999999998,50,0
261.0,43.188199999999995,24.494799999999998,50,0
262.0,43.188199999999995,24.494799999999998,50,0
263.0,43.188199999999995,24.494799999999998,50,0
264.0,43.51049999999999,24.494799999999998,50,0
265.0,43.51049999999999,24.494799999999998,50,0
266.0,43.51049999999999,24.494799999999998,50,0
267.0,43.51049999999999,24.494799999999998,50,0
268.0,43.51049999999999,24.494799999999998,50,0
269.0,43.8328,24.494799999999998,50,0
270.0,43.51049999999999,24.494799999999998,50,0
271.0,43.8328,24.494799999999998,50,0
272.0,43.8328,24.494799999999998,50,0
273.0,43.8328,24.494799999999998,50,0
274.0,43.8328,24.494799999999998,50,0
275.0,43.8328,24.494799999999998,50,0
276.0,44.1551,24.494799999999998,50,0
277.0,44.1551,24.494799999999998,50,0
278.0,44.1551,24.494799999999998,50,0
279.0,44.1551,24.494799999999998,50,0
280.0,44.1551,24.494799999999998,50,0
281.0,44.1551,24.494799999999998,50,0
282.0,44.1551,24.494799999999998,50,0
283.0,44.1551,24.494799999999998,50,0
284.0,44.477399999999996,24.494799999999998,50,0
285.0,44.477399999999996,24.494799999999998,50,0
286.0,44.477399999999996,24.494799999999998,50,0
287.0,44.477399999999996,24.494799999999998,50,0
288.0,44.477399999999996,24.494799999999998,50,0
289.0,44.477399999999996,24.817099999999996,50,0
290.0,44.799699999999994,24.817099999999996,50,0
291.0,44.477399999999996,24.494799999999998,50,0
292.0,44.799699999999994,24.817099999999996,50,0
293.0,44.799699999999994,24.817099999999996,50,0
294.0,44.799699999999994,24.817099999999996,50,0
295.0,44.799699999999994,24.817099999999996,50,0
296.0,44.799699999999994,24.817099999999996,50,0
297.0,44.799699999999994,24.817099999999996,50,0
298.0,44.799699999999994,24.817099999999996,50,0
299.0,45.122,24.817099999999996,50,0
300.0,45.122,24.817099999999996,50,0
301.0,45.122,24.817099999999996,50,0
302.0,45.122,24.817099999999996,50,0
303.0,45.122,24.817099999999996,50,0
304.0,45.122,24.817099999999996,50,0
305.0,45.122,24.817099999999996,50,0
306.0,45.4443,24.817099999999996,50,0
307.0,45.4443,24.817099999999996,50,0
308.0,45.4443,24.817099999999996,50,0
309.0,45.4443,24.817099999999996,50,0
310.0,45.4443,24.817099999999996,50,0
311.0,45.4443,24.817099999999996,50,0
312.0,45.4443,24.817099999999996,50,0
313.0,45.4443,24.817099999999996,50,0
314.0,45.4443,24.817099999999996,50,0
315.0,45.7666,24.817099999999996,50,0
316.0,45.7666,24.817099999999996,50,0
317.0,45.7666,24.817099999999996,50,0
318.0,45.7666,24.817099999999996,50,0
319.0,45.7666,24.817099999999996,50,0
320.0,45.7666,24.817099999999996,50,0
321.0,46.088899999999995,24.817099999999996,50,0
322.0,45.7666,24.817099999999996,50,0
323.0,46.088899999999995,24.817099999999996,50,0
324.0,46.088899999999995,25.1394,50,0
325.0,46.088899999999995,24.817099999999996,50,0
326.0,46.088899999999995,24.817099999999996,50,0
327.0,46.088899999999995,24.817099999999996,50,0
328.0,46.088899999999995,24.817099999999996,50,0
329.0,46.088899999999995,24.817099999999996,50,0
330.0,46.088899999999995,24.817099999999996,50,0
331.0,46.088899999999995,25.1394,50,0
332.0,46.411199999999994,25.1394,50,0
333.0,46.411199999999994,25.1394,50,0
334.0,46.088899999999995,24.817099999999996,50,0
335.0,46.411199999999994,24.817099999999996,50,0
336.0,46.411199999999994,25.1394,50,0
337.0,46.411199999999994,24.817099999999996,50,0
338.0,46.411199999999994,25.1394,50,0
339.0,46.411199999999994,25.1394,50,0
340.0,46.411199999999994,25.1394,50,0
341.0,46.411199999999994,25.1394,50,0
342.0,46.411199999999994,25.1394,50,0
343.0,46.7335,25.1394,50,0
344.0,46.7335,25.1394,50,0
345.0,46.7335,25.1394,50,0
346.0,46.7335,25.1394,50,0
347.0,46.7335,25.1394,50,0
348.0,46.7335,25.1394,50,0
349.0,46.7335,25.1394,50,0
350.0,46.7335,25.1394,50,0
351.0,46.7335,25.1394,50,0
352.0,46.7335,25.1394,50,0
353.0,47.0558,25.1394,50,0
354.0,46.7335,25.1394,50,0
355.0,47.0558,25.1394,50,0
356.0,47.0558,25.1394,50,0
357.0,47.0558,25.1394,50,0
358.0,47.0558,25.1394,50,0
359.0,47.0558,25.1394,50,0
360.0,47.0558,25.1394,50,0
361.0,47.0558,25.1394,50,0
362.0,47.0558,25.1394,50,0
363.0,47.0558,25.1394,50,0
364.0,47.0558,25.1394,50,0
365.0,47.378099999999996,25.1394,50,0
366.0,47.0558,25.1394,50,0
367.0,47.378099999999996,25.1394,50,0
368.0,47.0558,25.1394,50,0
369.0,47.378099999999996,25.1394,50,0
370.0,47.378099999999996,25.1394,50,0
371.0,47.378099999999996,25.1394,50,0
372.0,47.378099999999996,25.1394,50,0
373.0,47.378099999999996,25.1394,50,0
374.0,47.378099999999996,25.1394,50,0
375.0,47.378099999999996,25.1394,50,0
376.0,47.378099999999996,25.1394,50,0
377.0,47.378099999999996,25.1394,50,0
378.0,47.378099999999996,25.1394,50,0
379.0,47.700399999999995,25.1394,50,0
380.0,47.700399999999995,25.1394,50,0
381.0,47.378099999999996,25.1394,50,0
382.0,47.700399999999995,25.1394,50,0
383.0,47.700399999999995,25.1394,50,0
384.0,47.700399999999995,25.1394,50,0
385.0,47.700399999999995,25.1394,50,0
386.0,47.700399999999995,25.1394,50,0
387.0,47.700399999999995,25.1394,50,0
388.0,47.700399999999995,25.1394,50,0
389.0,47.700399999999995,25.1394,50,0
390.0,47.700399999999995,25.1394,50,0
391.0,47.700399999999995,25.1394,50,0
392.0,47.700399999999995,25.1394,50,0
393.0,47.700399999999995,25.1394,50,0
394.0,48.02269999999999,25.461699999999997,50,0
395.0,48.02269999999999,25.1394,50,0
396.0,48.02269999999999,25.1394,50,0
397.0,48.02269999999999,25.461699999999997,50,0
398.0,48.02269999999999,25.1394,50,0
399.0,48.02269999999999,25.461699999999997,50,0
400.0,48.02269999999999,25.461699999999997,50,0
401.0,48.02269999999999,25.461699999999997,50,0
402.0,48.02269999999999,25.1394,50,0
403.0,48.02269999999999,25.461699999999997,50,0
404.0,48.02269999999999,25.461699999999997,50,0
405.0,48.02269999999999,25.461699999999997,50,0
406.0,48.02269999999999,25.461699999999997,50,0
407.0,48.02269999999999,25.461699999999997,50,0
408.0,48.345,25.1394,50,0
409.0,48.02269999999999,25.461699999999997,50,0
410.0,48.02269999999999,25.461699999999997,50,0
411.0,48.02269999999999,25.461699999999997,50,0
412.0,48.345,25.1394,50,0
413.0,48.345,25.461699999999997,50,0
414.0,48.345,25.461699999999997,50,0
415.0,48.345,25.461699999999997,50,0
416.0,48.345,25.461699999999997,50,0
417.0,48.345,25.461699999999997,50,0
418.0,48.345,25.461699999999997,50,0
419.0,48.345,25.461699999999997,50,0
420.0,48.345,25.461699999999997,50,0
421.0,48.345,25.461699999999997,50,0
422.0,48.345,25.461699999999997,50,0
423.0,48.345,25.461699999999997,50,0
424.0,48.345,25.461699999999997,50,0
425.0,48.345,25.461699999999997,50,0
426.0,48.345,25.461699999999997,50,0
427.0,48.345,25.461699999999997,50,0
428.0,48.345,25.461699999999997,50,0
429.0,48.6673,25.461699999999997,50,0
430.0,48.6673,25.461699999999997,50,0
431.0,48.6673,25.461699999999997,50,0
432.0,48.6673,25.461699999999997,50,0
433.0,48.6673,25.461699999999997,50,0
434.0,48.6673,25.461699999999997,50,0
435.0,48.6673,25.461699999999997,50,0
436.0,48.6673,25.461699999999997,50,0
437.0,48.6673,25.461699999999997,50,0
438.0,48.6673,25.461699999999997,50,0
439.0,48.6673,25.461699999999997,50,0
440.0,48.6673,25.461699999999997,50,0
441.0,48.6673,25.461699999999997,50,0
442.0,48.6673,25.461699999999997,50,0
443.0,48.6673,25.461699999999997,50,0
444.0,48.6673,25.461699999999997,50,0
445.0,48.6673,25.461699999999997,50,0
446.0,48.6673,25.461699999999997,50,0
447.0,48.6673,25.461699999999997,50,0
448.0,48.6673,25.461699999999997,50,0
449.0,48.6673,25.461699999999997,50,0
450.0,48.989599999999996,25.461699999999997,50,0
451.0,48.6673,25.461699999999997,50,0
452.0,48.989599999999996,25.461699999999997,50,0
453.0,48.6673,25.461699999999997,50,0
454.0,48.989599999999996,25.461699999999997,50,0
455.0,48.989599999999996,25.461699999999997,50,0
456.0,48.989599999999996,25.461699999999997,50,0
457.0,48.989599999999996,25.461699999999997,50,0
458.0,48.989599999999996,25.461699999999997,50,0
459.0,48.989599999999996,25.461699999999997,50,0
460.0,48.989599999999996,25.461699999999997,50,0
461.0,48.989599999999996,25.461699999999997,50,0
462.0,48.989599999999996,25.461699999999997,50,0
463.0,48.989599999999996,25.461699999999997,50,0
464.0,48.989599999999996,25.461699999999997,50,0
465.0,48.989599999999996,25.461699999999997,50,0
466.0,48.989599999999996,25.461699999999997,50,0
467.0,48.989599999999996,25.461699999999997,50,0
468.0,48.989599999999996,25.461699999999997,50,0
469.0,48.989599999999996,25.461699999999997,50,0
470.0,48.989599999999996,25.461699999999997,50,0
471.0,48.989599999999996,25.461699999999997,50,0
472.0,48.989599999999996,25.461699999999997,50,0
473.0,48.989599999999996,25.461699999999997,50,0
474.0,48.989599999999996,25.461699999999997,50,0
475.0,49.311899999999994,25.461699999999997,50,0
476.0,49.311899999999994,25.461699999999997,50,0
477.0,49.311899999999994,25.461699999999997,50,0
478.0,49.311899999999994,25.461699999999997,50,0
479.0,49.311899999999994,25.461699999999997,50,0
480.0,49.311899999999994,25.461699999999997,50,0
481.0,49.311899999999994,25.461699999999997,50,0
482.0,49.311899999999994,25.461699999999997,50,0
483.0,49.311899999999994,25.461699999999997,50,0
484.0,49.311899999999994,25.461699999999997,50,0
485.0,49.311899999999994,25.461699999999997,50,0
